Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-26T01:16:48.391Z","Included","auto","No","84286","0","473856","3200","561342","0.24"
"2025-12-25T13:29:46.390Z","Included","auto","No","5389","0","264704","1756","271849","0.08"
"2025-12-25T13:28:58.532Z","Included","auto","No","29152","0","100608","970","130730","0.07"
"2025-12-25T13:19:27.809Z","Included","auto","No","56180","0","745216","13337","814733","0.34"
"2025-12-25T13:17:43.166Z","Included","auto","No","31258","0","119552","1159","151969","0.08"
"2025-12-25T13:12:42.384Z","Included","auto","No","67018","0","76544","1644","145206","0.11"
"2025-12-25T13:09:54.756Z","Included","auto","No","3092","0","205312","1625","210029","0.06"
"2025-12-25T13:07:15.104Z","Included","auto","No","3114","0","130048","1567","134729","0.05"
"2025-12-25T13:03:51.054Z","Included","auto","No","2817","0","6144","0","8961","0.01"
"2025-12-25T12:55:20.878Z","Included","auto","No","2967","0","124928","1696","129591","0.05"
"2025-12-25T12:49:51.618Z","Included","auto","No","5337","0","116224","3408","124969","0.06"
"2025-12-25T12:48:42.080Z","Included","auto","No","18568","0","97792","196","116556","0.05"
"2025-12-25T12:42:53.053Z","Included","auto","No","48865","0","398848","7222","454935","0.20"
"2025-12-25T12:25:07.024Z","Included","auto","No","6466","0","262400","2462","271328","0.09"
"2025-12-25T12:19:29.074Z","Included","auto","No","27157","0","161024","5481","193662","0.11"
"2025-12-25T12:17:23.532Z","Included","auto","No","744","0","8192","0","8936","0.003"
"2025-12-25T12:11:45.985Z","Included","auto","No","40893","0","67584","3304","111781","0.09"
"2025-12-25T09:14:10.200Z","Included","auto","No","12596","0","48640","2198","63434","0.04"
"2025-12-25T08:42:57.599Z","Included","auto","No","7486","0","104448","2809","114743","0.05"
"2025-12-25T08:28:55.333Z","Included","auto","No","18436","0","134912","4678","158026","0.08"
"2025-12-25T08:13:56.772Z","Included","auto","No","89486","0","555520","9597","654603","0.31"
"2025-12-25T07:56:58.708Z","Included","auto","No","52196","0","576256","10542","638994","0.27"
"2025-12-25T07:21:42.564Z","Included","auto","No","64215","0","569856","12618","646689","0.30"
"2025-12-25T06:56:49.155Z","Included","auto","No","15477","0","512256","4959","532692","0.18"
"2025-12-25T06:46:16.484Z","Included","auto","No","38767","0","370176","6789","415732","0.18"
"2025-12-25T06:12:05.364Z","Included","auto","No","128691","0","136960","3748","269399","0.22"
"2025-12-25T03:41:11.805Z","Included","auto","No","24928","0","564992","3412","593332","0.19"
"2025-12-25T03:31:14.977Z","Included","auto","No","105322","0","732672","5884","843878","0.35"
"2025-12-25T03:17:57.669Z","Included","auto","No","14654","0","552192","2387","569233","0.17"
"2025-12-25T03:07:52.785Z","Included","auto","No","12671","0","938240","6376","957287","0.29"
"2025-12-25T02:58:25.038Z","Included","auto","No","12240","0","594176","4236","610652","0.19"
"2025-12-25T02:42:15.049Z","Included","auto","No","4391","0","128768","2450","135609","0.05"
"2025-12-25T02:39:11.807Z","Included","auto","No","11634","0","410624","3677","425935","0.14"
"2025-12-25T02:30:30.062Z","Included","auto","No","48366","0","474112","6801","529279","0.22"
"2025-12-25T01:33:10.392Z","Included","auto","No","7233","0","208896","3600","219729","0.08"
"2025-12-25T01:28:36.481Z","Included","auto","No","17362","0","6144","1660","25166","0.03"
"2025-12-25T01:27:21.711Z","Included","auto","No","19815","0","54528","2444","76787","0.05"
"2025-12-24T13:21:03.623Z","Included","auto","No","3134","0","283648","1011","287793","0.08"
"2025-12-24T13:20:15.814Z","Included","auto","No","2576","0","185344","270","188190","0.05"
"2025-12-24T13:17:10.965Z","Included","auto","No","2954","0","272896","756","276606","0.08"
"2025-12-24T13:11:11.465Z","Included","auto","No","3858","0","261376","2294","267528","0.08"
"2025-12-24T13:07:38.860Z","Included","auto","No","2974","0","253440","1286","257700","0.07"
"2025-12-24T13:04:31.111Z","Included","auto","No","4219","0","242944","1940","249103","0.08"
"2025-12-24T12:57:15.508Z","Included","auto","No","13832","0","213248","3681","230761","0.09"
"2025-12-24T12:55:53.994Z","Included","auto","No","9003","0","334080","1020","344103","0.10"
"2025-12-24T12:53:56.214Z","Included","auto","No","23342","0","104704","4567","132613","0.08"
"2025-12-24T12:53:01.540Z","Included","auto","No","12231","0","135680","548","148459","0.05"
"2025-12-24T12:44:02.521Z","Included","auto","No","38314","0","509184","10254","557752","0.24"
"2025-12-24T10:15:50.075Z","Included","auto","No","2095","0","100096","1126","103317","0.03"
"2025-12-24T10:14:11.980Z","Included","auto","No","18805","0","14336","163","33304","0.03"
"2025-12-24T10:00:36.225Z","Included","auto","No","45420","0","491264","5326","542010","0.21"
"2025-12-24T09:55:57.669Z","Included","auto","No","17092","0","104192","2977","124261","0.07"
"2025-12-24T09:34:23.564Z","Included","auto","No","7057","0","335104","1669","343830","0.10"
"2025-12-24T09:17:01.751Z","Included","auto","No","15837","0","716800","3580","736217","0.22"
"2025-12-24T09:10:31.571Z","Included","auto","No","93122","0","100864","1316","195302","0.15"
"2025-12-24T09:03:40.947Z","Included","auto","No","90192","0","957696","20963","1068851","0.48"
"2025-12-24T09:01:29.736Z","Included","auto","No","1847","0","115968","702","118517","0.04"
"2025-12-24T09:00:46.783Z","Included","auto","No","1251","0","75520","863","77634","0.03"
"2025-12-24T08:58:56.578Z","Included","auto","No","13531","0","329472","2796","345799","0.12"
"2025-12-24T08:56:39.971Z","Included","auto","No","19796","0","71168","3205","94169","0.06"
"2025-12-24T08:39:34.037Z","Included","auto","No","22345","0","665856","4655","692856","0.22"
"2025-12-24T08:35:31.088Z","Included","auto","No","126758","0","501248","8033","636039","0.33"
