Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-22T03:05:29.038Z","free","auto","No","0","81631","1026816","6206","1114653","0.40"
"2025-12-22T02:55:54.162Z","free","auto","No","0","310346","2642816","28988","2982150","1.22"
"2025-12-22T02:42:37.035Z","free","auto","No","106587","0","982560","7482","1096629","0.42"
"2025-12-22T02:05:56.239Z","free","auto","No","74337","0","1182848","10539","1267724","0.45"
"2025-12-22T01:52:00.046Z","free","auto","No","18533","0","25600","1156","45289","0.04"
"2025-12-19T08:20:53.772Z","Included","auto","No","0","29368","183040","1097","213505","0.09"
"2025-12-19T08:16:15.565Z","Included","auto","No","0","115150","381568","3428","500146","0.26"
"2025-12-19T08:10:11.246Z","Included","auto","No","0","30638","58368","1373","90379","0.06"
"2025-12-19T07:51:10.556Z","Included","auto","No","0","71069","67328","764","139161","0.11"
"2025-12-19T07:24:10.644Z","Included","auto","No","0","32219","12160","1128","45507","0.05"
"2025-12-19T07:17:28.661Z","Included","auto","No","0","95022","226048","7265","328335","0.22"
"2025-12-19T07:00:45.775Z","Included","auto","No","0","65971","326016","10419","402406","0.23"
"2025-12-19T06:53:19.234Z","Included","auto","No","0","9580","2176","384","12140","0.01"
"2025-12-19T06:38:40.699Z","Included","auto","No","71762","0","481792","3389","556943","0.23"
"2025-12-19T06:25:50.720Z","Included","claude-4.5-opus-high-thinking","No","49019","235","539132","9113","597499","0.80"
"2025-12-19T05:09:18.659Z","Included","auto","No","41730","0","440320","3468","485518","0.18"
"2025-12-19T02:40:37.428Z","Included","claude-4.5-opus-high-thinking","No","56546","158","271836","11081","339621","0.77"
"2025-12-18T09:39:02.966Z","Included","claude-4.5-opus-high-thinking","No","31461","127","130427","5827","167842","0.41"
"2025-12-18T09:36:51.153Z","Included","claude-4.5-opus-high-thinking","No","25787","14","24115","509","50425","0.19"
"2025-12-18T08:45:55.541Z","Included","auto","No","114452","108645","126110","822","350029","0.32"
"2025-12-18T08:38:42.351Z","Included","auto","No","3510","104893","586420","1386","696209","0.29"
"2025-12-18T08:33:25.465Z","Included","auto","No","109414","98812","343986","1809","554021","0.36"
"2025-12-18T08:21:08.826Z","Included","auto","No","15137","88984","720788","4423","829332","0.34"
"2025-12-18T08:17:54.127Z","Included","auto","No","90054","58316","696470","5850","850690","0.39"
"2025-12-18T07:54:16.800Z","Included","auto","No","10147","49583","649437","6114","715281","0.27"
"2025-12-18T07:53:59.376Z","Aborted, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-12-18T07:50:55.303Z","Included","auto","No","4383","44459","226563","1625","277030","0.13"
"2025-12-18T07:47:07.862Z","Included","auto","No","14792","30439","294724","3026","342981","0.15"
"2025-12-18T07:39:27.324Z","Included","auto","No","34316","1500","226495","7202","269513","0.14"
"2025-12-18T07:33:20.898Z","Included","auto","No","0","21091","736896","1637","759624","0.22"
"2025-12-18T07:30:11.098Z","Included","auto","No","0","14811","542208","1146","558165","0.16"
"2025-12-18T07:25:27.625Z","Included","auto","No","0","27159","673536","4205","704900","0.23"
"2025-12-18T07:17:14.050Z","Included","auto","No","0","33367","696064","2957","732388","0.23"
"2025-12-18T07:15:00.050Z","Included","auto","No","0","5378","103168","449","108995","0.04"
"2025-12-18T07:10:55.542Z","Included","auto","No","0","112831","363904","4972","481707","0.26"
"2025-12-18T07:09:24.327Z","Included","auto","No","0","5993","396416","960","403369","0.11"
"2025-12-18T07:07:33.814Z","Included","auto","No","0","21322","228608","375","250305","0.09"
"2025-12-18T06:56:53.943Z","Included","auto","No","0","218417","449024","2449","669890","0.40"
"2025-12-18T06:39:14.990Z","Included","auto","No","15119","0","823808","3099","842026","0.24"
"2025-12-18T06:05:10.929Z","Included","auto","No","81047","0","498176","2757","581980","0.24"
"2025-12-18T06:02:45.560Z","Included","claude-4.5-opus-high-thinking","No","25709","108","156020","7026","188863","0.41"
"2025-12-18T03:49:00.444Z","Included","claude-4.5-opus-high-thinking","No","12304","28","23568","1448","37348","0.13"
"2025-12-18T03:43:03.680Z","Included","auto","No","3625","0","389632","657","393914","0.11"
"2025-12-18T03:39:50.169Z","Included","auto","No","23431","0","894976","6701","925108","0.29"
"2025-12-18T03:37:02.740Z","Included","auto","No","14168","0","538624","2005","554797","0.16"
"2025-12-18T03:29:11.431Z","Included","auto","No","25654","0","464896","3731","494281","0.17"
"2025-12-18T03:27:56.756Z","Included","auto","No","19978","0","252928","2750","275656","0.10"
"2025-12-18T03:19:08.777Z","Included","auto","No","11777","0","216576","1624","229977","0.08"
"2025-12-18T03:15:44.927Z","Included","auto","No","7158","0","178176","2577","187911","0.07"
"2025-12-18T03:14:57.630Z","Included","auto","No","13096","0","46080","2631","61807","0.04"
"2025-12-18T03:05:19.200Z","Included","auto","No","23846","0","952320","3723","979889","0.29"
"2025-12-18T02:57:30.558Z","Included","auto","No","9605","0","330752","2968","343325","0.11"
"2025-12-18T02:55:02.218Z","Included","auto","No","986","0","50688","410","52084","0.02"
"2025-12-18T02:52:25.117Z","Included","auto","No","16333","0","364032","2583","382948","0.13"
"2025-12-18T02:50:14.388Z","Included","auto","No","7638","0","163840","1330","172808","0.06"
"2025-12-18T02:47:18.044Z","Included","auto","No","22734","0","7168","533","30435","0.03"
"2025-12-18T02:45:15.682Z","Included","auto","No","26175","0","242176","5368","273719","0.13"
"2025-12-18T02:27:55.111Z","Included","auto","No","18426","0","161792","3595","183813","0.09"
"2025-12-18T02:26:48.417Z","Included","auto","No","19328","0","568320","1502","589150","0.18"
"2025-12-18T02:19:04.514Z","Included","auto","No","66497","0","148992","2117","217606","0.13"
"2025-12-18T02:12:00.122Z","Included","auto","No","65858","0","560640","13350","639848","0.30"
"2025-12-17T11:50:29.284Z","Included","auto","No","0","14457","1521792","8129","1544378","0.45"
"2025-12-17T11:46:50.933Z","Included","auto","No","0","11657","228608","358","240623","0.07"
"2025-12-17T11:43:44.798Z","Included","auto","No","0","11298","711040","3491","725829","0.21"
"2025-12-17T11:41:04.125Z","Included","auto","No","0","15229","52352","731","68312","0.04"
"2025-12-17T11:38:02.792Z","Included","auto","No","0","43950","258816","3306","306072","0.14"
"2025-12-17T11:30:05.875Z","Included","auto","No","0","30528","234368","13634","278530","0.18"
"2025-12-17T11:24:30.419Z","Included","auto","No","0","12639","45184","5013","62836","0.06"
"2025-12-17T11:20:17.119Z","Included","auto","No","0","5386","14464","3167","23017","0.03"
"2025-12-17T10:08:02.697Z","Included","auto","No","0","3963","323328","2969","330260","0.10"
"2025-12-17T09:58:13.391Z","Included","auto","No","0","20078","31232","693","52003","0.04"
"2025-12-17T09:50:05.737Z","Included","auto","No","0","62675","340480","8191","411346","0.21"
"2025-12-17T09:41:31.386Z","Included","auto","No","0","18500","101248","2986","122734","0.07"
"2025-12-17T09:35:53.757Z","Included","auto","No","0","15786","71936","2606","90328","0.05"
"2025-12-17T09:30:16.474Z","Included","auto","No","0","53206","531840","2060","587106","0.21"
"2025-12-17T09:26:16.909Z","Included","auto","No","0","18594","446464","1015","466073","0.14"
